"activity" "subject" "variable" "average_value"
"SITTING" 17 "tBodyGyro-mean()-Y" -0.082710926198038
"WALKING_UPSTAIRS" 18 "tBodyGyro-mean()-Y" -0.0678200104982143
"LAYING" 19 "tBodyGyro-mean()-Y" -0.0687555371432624
"SITTING" 19 "tBodyGyro-mean()-Y" -0.0659241056410256
"WALKING_UPSTAIRS" 20 "tBodyGyro-mean()-Y" -0.0789448418069209
"LAYING" 21 "tBodyGyro-mean()-Y" -0.0784719736838971
"LAYING" 22 "tBodyGyro-mean()-Y" -0.0949661116922118
"LAYING" 23 "tBodyGyro-mean()-Y" -0.0825972963754032
"WALKING_UPSTAIRS" 24 "tBodyGyro-mean()-Y" -0.0782440202677165
"LAYING" 25 "tBodyGyro-mean()-Y" -0.083900354157824
"LAYING" 26 "tBodyGyro-mean()-Y" -0.0812137120125
"WALKING" 26 "tBodyGyro-mean()-Y" -0.0837091090064167
"WALKING" 27 "tBodyGyro-mean()-Y" -0.0552177945716489
"WALKING" 28 "tBodyGyro-mean()-Y" -0.0471474023101021
"WALKING" 29 "tBodyGyro-mean()-Y" -0.0882883296441861
"WALKING" 30 "tBodyGyro-mean()-Y" -0.0717504988947368
"WALKING_DOWNSTAIRS" 30 "tBodyGyro-mean()-Y" -0.0714627823333333
"STANDING" 1 "tBodyGyro-mean()-Z" 0.0862641666597983
"WALKING_DOWNSTAIRS" 2 "tBodyGyro-mean()-Z" 0.0872599422291391
"STANDING" 3 "tBodyGyro-mean()-Z" 0.0866875497119062
"WALKING_DOWNSTAIRS" 4 "tBodyGyro-mean()-Z" 0.0957174866009464
"STANDING" 5 "tBodyGyro-mean()-Z" 0.0866267116745033
"STANDING" 6 "tBodyGyro-mean()-Z" 0.0973130293888923
"STANDING" 7 "tBodyGyro-mean()-Z" 0.0977671721406169
"STANDING" 8 "tBodyGyro-mean()-Z" 0.0640867611561922
"WALKING_DOWNSTAIRS" 9 "tBodyGyro-mean()-Z" 0.109092913237986
"WALKING_DOWNSTAIRS" 10 "tBodyGyro-mean()-Z" 0.0910265011879252
"SITTING" 11 "tBodyGyro-mean()-Z" 0.0873479055083583
"STANDING" 11 "tBodyGyro-mean()-Z" 0.077268165
"WALKING_DOWNSTAIRS" 12 "tBodyGyro-mean()-Z" 0.0993969300158416
"WALKING_UPSTAIRS" 12 "tBodyGyro-mean()-Z" 0.0903861765730508
"WALKING_UPSTAIRS" 13 "tBodyGyro-mean()-Z" 0.098866059686422
"SITTING" 14 "tBodyGyro-mean()-Z" 0.0606712446996904
"SITTING" 15 "tBodyGyro-mean()-Z" 0.0906658516
"SITTING" 16 "tBodyGyro-mean()-Z" 0.0730144651530055
"SITTING" 17 "tBodyGyro-mean()-Z" 0.077025064375462
"WALKING_UPSTAIRS" 18 "tBodyGyro-mean()-Z" 0.0908402866868132
"LAYING" 19 "tBodyGyro-mean()-Z" 0.089144878148227
"SITTING" 19 "tBodyGyro-mean()-Z" 0.0855267904914103
"WALKING_UPSTAIRS" 20 "tBodyGyro-mean()-Z" 0.0856280628860452
"LAYING" 21 "tBodyGyro-mean()-Z" 0.0861212668362745
"LAYING" 22 "tBodyGyro-mean()-Z" 0.0812406584647975
"LAYING" 23 "tBodyGyro-mean()-Z" 0.074694942324328
"WALKING_UPSTAIRS" 24 "tBodyGyro-mean()-Z" 0.0841740375981627
"LAYING" 25 "tBodyGyro-mean()-Z" 0.0993606079900489
"LAYING" 26 "tBodyGyro-mean()-Z" 0.0994417664671053
"WALKING" 26 "tBodyGyro-mean()-Z" 0.086936252598125
"WALKING" 27 "tBodyGyro-mean()-Z" 0.108947089653191
"WALKING" 28 "tBodyGyro-mean()-Z" 0.100840281329581
"WALKING" 29 "tBodyGyro-mean()-Z" 0.0881626266546221
"WALKING" 30 "tBodyGyro-mean()-Z" 0.0830246256904737
"WALKING_DOWNSTAIRS" 30 "tBodyGyro-mean()-Z" 0.137899969333333
"STANDING" 1 "tBodyGyroJerk-mean()-X" -0.0971120197265994
"WALKING_DOWNSTAIRS" 2 "tBodyGyroJerk-mean()-X" -0.0875587491668874
"STANDING" 3 "tBodyGyroJerk-mean()-X" -0.0991554609633431
"WALKING_DOWNSTAIRS" 4 "tBodyGyroJerk-mean()-X" -0.107859315713249
"STANDING" 5 "tBodyGyroJerk-mean()-X" -0.103522877147351
"STANDING" 6 "tBodyGyroJerk-mean()-X" -0.0829159966093231
"STANDING" 7 "tBodyGyroJerk-mean()-X" -0.0942037376182662
"STANDING" 8 "tBodyGyroJerk-mean()-X" -0.104969855200356
"WALKING_DOWNSTAIRS" 9 "tBodyGyroJerk-mean()-X" -0.0892254930640278
"WALKING_DOWNSTAIRS" 10 "tBodyGyroJerk-mean()-X" -0.108150829882313
"SITTING" 11 "tBodyGyroJerk-mean()-X" -0.080526211410828
"STANDING" 11 "tBodyGyroJerk-mean()-X" -0.0838631045
"WALKING_DOWNSTAIRS" 12 "tBodyGyroJerk-mean()-X" -0.075396617279703
"WALKING_UPSTAIRS" 12 "tBodyGyroJerk-mean()-X" -0.0692049439288136
"WALKING_UPSTAIRS" 13 "tBodyGyroJerk-mean()-X" -0.0881182379434251
"SITTING" 14 "tBodyGyroJerk-mean()-X" -0.107556127062003
"SITTING" 15 "tBodyGyroJerk-mean()-X" -0.0960910108539634
"SITTING" 16 "tBodyGyroJerk-mean()-X" -0.107361614801257
"SITTING" 17 "tBodyGyroJerk-mean()-X" -0.107854170946467
"WALKING_UPSTAIRS" 18 "tBodyGyroJerk-mean()-X" -0.0944029581558242
"LAYING" 19 "tBodyGyroJerk-mean()-X" -0.0869042168156028
"SITTING" 19 "tBodyGyroJerk-mean()-X" -0.0993183353846154
"WALKING_UPSTAIRS" 20 "tBodyGyroJerk-mean()-X" -0.094982179135
"LAYING" 21 "tBodyGyroJerk-mean()-X" -0.100558317889216
"LAYING" 22 "tBodyGyroJerk-mean()-X" -0.109257561827445
"LAYING" 23 "tBodyGyroJerk-mean()-X" -0.0966990737225806
"WALKING_UPSTAIRS" 24 "tBodyGyroJerk-mean()-X" -0.0998294248142257
"LAYING" 25 "tBodyGyroJerk-mean()-X" -0.108263884562298
"LAYING" 26 "tBodyGyroJerk-mean()-X" -0.101421019955132
"WALKING" 26 "tBodyGyroJerk-mean()-X" -0.0971605398470833
"WALKING" 27 "tBodyGyroJerk-mean()-X" -0.0893066039356303
"WALKING" 28 "tBodyGyroJerk-mean()-X" -0.0881213551172775
"WALKING" 29 "tBodyGyroJerk-mean()-X" -0.100707751809855
"WALKING" 30 "tBodyGyroJerk-mean()-X" -0.0932811905657895
"WALKING_DOWNSTAIRS" 30 "tBodyGyroJerk-mean()-X" -0.0161334956666667
"STANDING" 1 "tBodyGyroJerk-mean()-Y" -0.0417164808293948
"WALKING_DOWNSTAIRS" 2 "tBodyGyroJerk-mean()-Y" -0.0433986835453642
"STANDING" 3 "tBodyGyroJerk-mean()-Y" -0.0401923943695015
"WALKING_DOWNSTAIRS" 4 "tBodyGyroJerk-mean()-Y" -0.0400427574662461
"STANDING" 5 "tBodyGyroJerk-mean()-Y" -0.0490624519374172
"STANDING" 6 "tBodyGyroJerk-mean()-Y" -0.0454921005615385
"STANDING" 7 "tBodyGyroJerk-mean()-Y" -0.0414401406082792
"STANDING" 8 "tBodyGyroJerk-mean()-Y" -0.0400922240331673
"WALKING_DOWNSTAIRS" 9 "tBodyGyroJerk-mean()-Y" -0.0397344421815972
"WALKING_DOWNSTAIRS" 10 "tBodyGyroJerk-mean()-Y" -0.0424219983671769
"SITTING" 11 "tBodyGyroJerk-mean()-Y" -0.0494763417675159
"STANDING" 11 "tBodyGyroJerk-mean()-Y" -0.036056577
"WALKING_DOWNSTAIRS" 12 "tBodyGyroJerk-mean()-Y" -0.0418720001816832
"WALKING_UPSTAIRS" 12 "tBodyGyroJerk-mean()-Y" -0.0467718600059322
"WALKING_UPSTAIRS" 13 "tBodyGyroJerk-mean()-Y" -0.0440836605146789
"SITTING" 14 "tBodyGyroJerk-mean()-Y" -0.0433200489340217
"SITTING" 15 "tBodyGyroJerk-mean()-Y" -0.0441270690182012
"SITTING" 16 "tBodyGyroJerk-mean()-Y" -0.0416615668939617
"SITTING" 17 "tBodyGyroJerk-mean()-Y" -0.039171944702962
"WALKING_UPSTAIRS" 18 "tBodyGyroJerk-mean()-Y" -0.044169186546978
"LAYING" 19 "tBodyGyroJerk-mean()-Y" -0.0374993264437234
"SITTING" 19 "tBodyGyroJerk-mean()-Y" -0.0412910828589744
"WALKING_UPSTAIRS" 20 "tBodyGyroJerk-mean()-Y" -0.0414356124141243
"LAYING" 21 "tBodyGyroJerk-mean()-Y" -0.0408236141863333
"LAYING" 22 "tBodyGyroJerk-mean()-Y" -0.0384616223750156
"LAYING" 23 "tBodyGyroJerk-mean()-Y" -0.0432722741798387
"WALKING_UPSTAIRS" 24 "tBodyGyroJerk-mean()-Y" -0.0390749421383202
"LAYING" 25 "tBodyGyroJerk-mean()-Y" -0.0389884753435208
"LAYING" 26 "tBodyGyroJerk-mean()-Y" -0.0407465479328947
"WALKING" 26 "tBodyGyroJerk-mean()-Y" -0.0403053067809583
"WALKING" 27 "tBodyGyroJerk-mean()-Y" -0.0450414487725798
"WALKING" 28 "tBodyGyroJerk-mean()-Y" -0.0447972595862042
"WALKING" 29 "tBodyGyroJerk-mean()-Y" -0.0464322029527616
"WALKING" 30 "tBodyGyroJerk-mean()-Y" -0.0415263653982632
"WALKING_DOWNSTAIRS" 30 "tBodyGyroJerk-mean()-Y" -0.0113986366666667
"STANDING" 1 "tBodyGyroJerk-mean()-Z" -0.0471393985477522
"WALKING_DOWNSTAIRS" 2 "tBodyGyroJerk-mean()-Z" -0.0557541828188742
"STANDING" 3 "tBodyGyroJerk-mean()-Z" -0.0521178264170088
"WALKING_DOWNSTAIRS" 4 "tBodyGyroJerk-mean()-Z" -0.0578089304000631
"STANDING" 5 "tBodyGyroJerk-mean()-Z" -0.0506258160122517
"STANDING" 6 "tBodyGyroJerk-mean()-Z" -0.0533610323667692
"STANDING" 7 "tBodyGyroJerk-mean()-Z" -0.0610307928148701
"STANDING" 8 "tBodyGyroJerk-mean()-Z" -0.0582887148366548
"WALKING_DOWNSTAIRS" 9 "tBodyGyroJerk-mean()-Z" -0.053402884281875
"WALKING_DOWNSTAIRS" 10 "tBodyGyroJerk-mean()-Z" -0.0555521277515646
"SITTING" 11 "tBodyGyroJerk-mean()-Z" -0.0481072817632166
"STANDING" 11 "tBodyGyroJerk-mean()-Z" -0.033371406
"WALKING_DOWNSTAIRS" 12 "tBodyGyroJerk-mean()-Z" -0.0610953549569307
"WALKING_UPSTAIRS" 12 "tBodyGyroJerk-mean()-Z" -0.0512327081544915
"WALKING_UPSTAIRS" 13 "tBodyGyroJerk-mean()-Z" -0.0582718748712538
"SITTING" 14 "tBodyGyroJerk-mean()-Z" -0.0450693836894427
"SITTING" 15 "tBodyGyroJerk-mean()-Z" -0.0555645456881098
"SITTING" 16 "tBodyGyroJerk-mean()-Z" -0.0539470410873497
"SITTING" 17 "tBodyGyroJerk-mean()-Z" -0.0508496510874185
"WALKING_UPSTAIRS" 18 "tBodyGyroJerk-mean()-Z" -0.0568482569002198
"LAYING" 19 "tBodyGyroJerk-mean()-Z" -0.0572815080969149
"SITTING" 19 "tBodyGyroJerk-mean()-Z" -0.0558204450128205
"WALKING_UPSTAIRS" 20 "tBodyGyroJerk-mean()-Z" -0.0543001277610169
"LAYING" 21 "tBodyGyroJerk-mean()-Z" -0.0533861046416422
"LAYING" 22 "tBodyGyroJerk-mean()-Z" -0.0582144293519003
"LAYING" 23 "tBodyGyroJerk-mean()-Z" -0.0621959093526344
"WALKING_UPSTAIRS" 24 "tBodyGyroJerk-mean()-Z" -0.0552987683401575
"LAYING" 25 "tBodyGyroJerk-mean()-Z" -0.0555782223647433
"LAYING" 26 "tBodyGyroJerk-mean()-Z" -0.0582775581136711
"WALKING" 26 "tBodyGyroJerk-mean()-Z" -0.0542770612758333
"WALKING" 27 "tBodyGyroJerk-mean()-Z" -0.0586254676047872
"WALKING" 28 "tBodyGyroJerk-mean()-Z" -0.0607680707408115
"WALKING" 29 "tBodyGyroJerk-mean()-Z" -0.052785999031686
"WALKING" 30 "tBodyGyroJerk-mean()-Z" -0.0487768704016316
"WALKING_DOWNSTAIRS" 30 "tBodyGyroJerk-mean()-Z" -0.12266362
"STANDING" 1 "tBodyAccMag-mean()" -0.453632943768818
"WALKING_DOWNSTAIRS" 2 "tBodyAccMag-mean()" -0.535281800541722
"STANDING" 3 "tBodyAccMag-mean()" -0.563140802770059
"WALKING_DOWNSTAIRS" 4 "tBodyAccMag-mean()" -0.56158213510694
"STANDING" 5 "tBodyAccMag-mean()" -0.460866415568709
"STANDING" 6 "tBodyAccMag-mean()" -0.464770006998123
"STANDING" 7 "tBodyAccMag-mean()" -0.511312036747403
"STANDING" 8 "tBodyAccMag-mean()" -0.468522592843416
"WALKING_DOWNSTAIRS" 9 "tBodyAccMag-mean()" -0.505183470509188
"WALKING_DOWNSTAIRS" 10 "tBodyAccMag-mean()" -0.502500207000204
"SITTING" 11 "tBodyAccMag-mean()" -0.540084945283758
"STANDING" 11 "tBodyAccMag-mean()" -0.973018775
"WALKING_DOWNSTAIRS" 12 "tBodyAccMag-mean()" -0.63774231895495
"WALKING_UPSTAIRS" 12 "tBodyAccMag-mean()" -0.425794459213559
"WALKING_UPSTAIRS" 13 "tBodyAccMag-mean()" -0.539871637249541
"SITTING" 14 "tBodyAccMag-mean()" -0.453262620331889
"SITTING" 15 "tBodyAccMag-mean()" -0.527285352000488
"SITTING" 16 "tBodyAccMag-mean()" -0.616131116889044
"SITTING" 17 "tBodyAccMag-mean()" -0.568367244093859
"WALKING_UPSTAIRS" 18 "tBodyAccMag-mean()" -0.658370952115385
"LAYING" 19 "tBodyAccMag-mean()" -0.410877683475496
"SITTING" 19 "tBodyAccMag-mean()" -0.967630046410256
"WALKING_UPSTAIRS" 20 "tBodyAccMag-mean()" -0.517257429345412
"LAYING" 21 "tBodyAccMag-mean()" -0.620309259553676
"LAYING" 22 "tBodyAccMag-mean()" -0.504099198287601
"LAYING" 23 "tBodyAccMag-mean()" -0.532754757205108
"WALKING_UPSTAIRS" 24 "tBodyAccMag-mean()" -0.620032665162467
"LAYING" 25 "tBodyAccMag-mean()" -0.583377749713936
"LAYING" 26 "tBodyAccMag-mean()" -0.763300536230263
"WALKING" 26 "tBodyAccMag-mean()" -0.498099025207917
"WALKING" 27 "tBodyAccMag-mean()" -0.627947737417819
"WALKING" 28 "tBodyAccMag-mean()" -0.610030902501309
"WALKING" 29 "tBodyAccMag-mean()" -0.553585593347965
"WALKING" 30 "tBodyAccMag-mean()" -0.542233622934974
"WALKING_DOWNSTAIRS" 30 "tBodyAccMag-mean()" -0.0184902189333333
"STANDING" 1 "tGravityAccMag-mean()" -0.453632943768818
"WALKING_DOWNSTAIRS" 2 "tGravityAccMag-mean()" -0.535281800541722
"STANDING" 3 "tGravityAccMag-mean()" -0.563140802770059
"WALKING_DOWNSTAIRS" 4 "tGravityAccMag-mean()" -0.56158213510694
"STANDING" 5 "tGravityAccMag-mean()" -0.460866415568709
"STANDING" 6 "tGravityAccMag-mean()" -0.464770006998123
"STANDING" 7 "tGravityAccMag-mean()" -0.511312036747403
"STANDING" 8 "tGravityAccMag-mean()" -0.468522592843416
"WALKING_DOWNSTAIRS" 9 "tGravityAccMag-mean()" -0.505183470509188
"WALKING_DOWNSTAIRS" 10 "tGravityAccMag-mean()" -0.502500207000204
"SITTING" 11 "tGravityAccMag-mean()" -0.540084945283758
"STANDING" 11 "tGravityAccMag-mean()" -0.973018775
"WALKING_DOWNSTAIRS" 12 "tGravityAccMag-mean()" -0.63774231895495
"WALKING_UPSTAIRS" 12 "tGravityAccMag-mean()" -0.425794459213559
"WALKING_UPSTAIRS" 13 "tGravityAccMag-mean()" -0.539871637249541
"SITTING" 14 "tGravityAccMag-mean()" -0.453262620331889
"SITTING" 15 "tGravityAccMag-mean()" -0.527285352000488
"SITTING" 16 "tGravityAccMag-mean()" -0.616131116889044
"SITTING" 17 "tGravityAccMag-mean()" -0.568367244093859
"WALKING_UPSTAIRS" 18 "tGravityAccMag-mean()" -0.658370952115385
"LAYING" 19 "tGravityAccMag-mean()" -0.410877683475496
"SITTING" 19 "tGravityAccMag-mean()" -0.967630046410256
"WALKING_UPSTAIRS" 20 "tGravityAccMag-mean()" -0.517257429345412
"LAYING" 21 "tGravityAccMag-mean()" -0.620309259553676
"LAYING" 22 "tGravityAccMag-mean()" -0.504099198287601
"LAYING" 23 "tGravityAccMag-mean()" -0.532754757205108
"WALKING_UPSTAIRS" 24 "tGravityAccMag-mean()" -0.620032665162467
"LAYING" 25 "tGravityAccMag-mean()" -0.583377749713936
"LAYING" 26 "tGravityAccMag-mean()" -0.763300536230263
"WALKING" 26 "tGravityAccMag-mean()" -0.498099025207917
"WALKING" 27 "tGravityAccMag-mean()" -0.627947737417819
"WALKING" 28 "tGravityAccMag-mean()" -0.610030902501309
"WALKING" 29 "tGravityAccMag-mean()" -0.553585593347965
"WALKING" 30 "tGravityAccMag-mean()" -0.542233622934974
"WALKING_DOWNSTAIRS" 30 "tGravityAccMag-mean()" -0.0184902189333333
"STANDING" 1 "tBodyAccJerkMag-mean()" -0.545431612066571
"WALKING_DOWNSTAIRS" 2 "tBodyAccJerkMag-mean()" -0.58777744543543
"STANDING" 3 "tBodyAccJerkMag-mean()" -0.650182434328446
"WALKING_DOWNSTAIRS" 4 "tBodyAccJerkMag-mean()" -0.656116311856877
"STANDING" 5 "tBodyAccJerkMag-mean()" -0.589313870006622
"STANDING" 6 "tBodyAccJerkMag-mean()" -0.551413652396923
"STANDING" 7 "tBodyAccJerkMag-mean()" -0.622815767680292
"STANDING" 8 "tBodyAccJerkMag-mean()" -0.534248616612028
"WALKING_DOWNSTAIRS" 9 "tBodyAccJerkMag-mean()" -0.621608245092361
"WALKING_DOWNSTAIRS" 10 "tBodyAccJerkMag-mean()" -0.57776193128833
"SITTING" 11 "tBodyAccJerkMag-mean()" -0.677924832601911
"STANDING" 11 "tBodyAccJerkMag-mean()" -0.977283
"WALKING_DOWNSTAIRS" 12 "tBodyAccJerkMag-mean()" -0.707386234311881
"WALKING_UPSTAIRS" 12 "tBodyAccJerkMag-mean()" -0.497662186977966
"WALKING_UPSTAIRS" 13 "tBodyAccJerkMag-mean()" -0.625466938809174
"SITTING" 14 "tBodyAccJerkMag-mean()" -0.608973420309907
"SITTING" 15 "tBodyAccJerkMag-mean()" -0.654799694757531
"SITTING" 16 "tBodyAccJerkMag-mean()" -0.725246870486339
"SITTING" 17 "tBodyAccJerkMag-mean()" -0.696465197235054
"WALKING_UPSTAIRS" 18 "tBodyAccJerkMag-mean()" -0.753904676895604
"LAYING" 19 "tBodyAccJerkMag-mean()" -0.462907588320922
"SITTING" 19 "tBodyAccJerkMag-mean()" -0.985912167820513
"WALKING_UPSTAIRS" 20 "tBodyAccJerkMag-mean()" -0.619698756735028
"LAYING" 21 "tBodyAccJerkMag-mean()" -0.703461275879657
"LAYING" 22 "tBodyAccJerkMag-mean()" -0.609772829890966
"LAYING" 23 "tBodyAccJerkMag-mean()" -0.58640067170914
"WALKING_UPSTAIRS" 24 "tBodyAccJerkMag-mean()" -0.713667423769029
"LAYING" 25 "tBodyAccJerkMag-mean()" -0.783445354474328
"LAYING" 26 "tBodyAccJerkMag-mean()" -0.813616303289474
"WALKING" 26 "tBodyAccJerkMag-mean()" -0.619742177958333
"WALKING" 27 "tBodyAccJerkMag-mean()" -0.70180744799867
"WALKING" 28 "tBodyAccJerkMag-mean()" -0.689429387759162
"WALKING" 29 "tBodyAccJerkMag-mean()" -0.664538060484884
"WALKING" 30 "tBodyAccJerkMag-mean()" -0.699048606606842
"WALKING_DOWNSTAIRS" 30 "tBodyAccJerkMag-mean()" -0.443909376666667
"STANDING" 1 "tBodyGyroMag-mean()" -0.475404785802305
"WALKING_DOWNSTAIRS" 2 "tBodyGyroMag-mean()" -0.614771054893146
"STANDING" 3 "tBodyGyroMag-mean()" -0.643150121648094
"WALKING_DOWNSTAIRS" 4 "tBodyGyroMag-mean()" -0.656291093847319
"STANDING" 5 "tBodyGyroMag-mean()" -0.602770284825828
"STANDING" 6 "tBodyGyroMag-mean()" -0.549494852037046
"STANDING" 7 "tBodyGyroMag-mean()" -0.581899897967532
"STANDING" 8 "tBodyGyroMag-mean()" -0.476214943826192
"WALKING_DOWNSTAIRS" 9 "tBodyGyroMag-mean()" -0.550201866572569
"WALKING_DOWNSTAIRS" 10 "tBodyGyroMag-mean()" -0.521819802352381
"SITTING" 11 "tBodyGyroMag-mean()" -0.626413805245223
"STANDING" 11 "tBodyGyroMag-mean()" -0.935153045
"WALKING_DOWNSTAIRS" 12 "tBodyGyroMag-mean()" -0.67658561339604
"WALKING_UPSTAIRS" 12 "tBodyGyroMag-mean()" -0.554775296115254
"WALKING_UPSTAIRS" 13 "tBodyGyroMag-mean()" -0.581215403184709
"SITTING" 14 "tBodyGyroMag-mean()" -0.416459776709257
"SITTING" 15 "tBodyGyroMag-mean()" -0.617721779796037
"SITTING" 16 "tBodyGyroMag-mean()" -0.718168775628415
"SITTING" 17 "tBodyGyroMag-mean()" -0.676185123284103
"WALKING_UPSTAIRS" 18 "tBodyGyroMag-mean()" -0.714735668626374
"LAYING" 19 "tBodyGyroMag-mean()" -0.436124386587234
"SITTING" 19 "tBodyGyroMag-mean()" -0.956717993717949
"WALKING_UPSTAIRS" 20 "tBodyGyroMag-mean()" -0.516861235888701
"LAYING" 21 "tBodyGyroMag-mean()" -0.693779224517157
"LAYING" 22 "tBodyGyroMag-mean()" -0.637666108456075
"LAYING" 23 "tBodyGyroMag-mean()" -0.544207964433387
"WALKING_UPSTAIRS" 24 "tBodyGyroMag-mean()" -0.682447212750656
"LAYING" 25 "tBodyGyroMag-mean()" -0.625733064258924
"LAYING" 26 "tBodyGyroMag-mean()" -0.817365100914474
"WALKING" 26 "tBodyGyroMag-mean()" -0.616844952216667
"WALKING" 27 "tBodyGyroMag-mean()" -0.694016019806117
"WALKING" 28 "tBodyGyroMag-mean()" -0.648538641430367
"WALKING" 29 "tBodyGyroMag-mean()" -0.602228993700349
"WALKING" 30 "tBodyGyroMag-mean()" -0.513983683654237
"WALKING_DOWNSTAIRS" 30 "tBodyGyroMag-mean()" -0.009581677
"STANDING" 1 "tBodyGyroJerkMag-mean()" -0.639517432642651
"WALKING_DOWNSTAIRS" 2 "tBodyGyroJerkMag-mean()" -0.746559539039735
"STANDING" 3 "tBodyGyroJerkMag-mean()" -0.784056656246334
"WALKING_DOWNSTAIRS" 4 "tBodyGyroJerkMag-mean()" -0.819191368044164
"STANDING" 5 "tBodyGyroJerkMag-mean()" -0.707383517582782
"STANDING" 6 "tBodyGyroJerkMag-mean()" -0.621936158532308
"STANDING" 7 "tBodyGyroJerkMag-mean()" -0.713191348337662
"STANDING" 8 "tBodyGyroJerkMag-mean()" -0.673625525658363
"WALKING_DOWNSTAIRS" 9 "tBodyGyroJerkMag-mean()" -0.7629795809375
"WALKING_DOWNSTAIRS" 10 "tBodyGyroJerkMag-mean()" -0.734465805340136
"SITTING" 11 "tBodyGyroJerkMag-mean()" -0.825822469617834
"STANDING" 11 "tBodyGyroJerkMag-mean()" -0.98485877
"WALKING_DOWNSTAIRS" 12 "tBodyGyroJerkMag-mean()" -0.820481950841584
"WALKING_UPSTAIRS" 12 "tBodyGyroJerkMag-mean()" -0.703363381016949
"WALKING_UPSTAIRS" 13 "tBodyGyroJerkMag-mean()" -0.712745036012232
"SITTING" 14 "tBodyGyroJerkMag-mean()" -0.700520939854799
"SITTING" 15 "tBodyGyroJerkMag-mean()" -0.805282669512195
"SITTING" 16 "tBodyGyroJerkMag-mean()" -0.860446372459016
"SITTING" 17 "tBodyGyroJerkMag-mean()" -0.810438232853261
"WALKING_UPSTAIRS" 18 "tBodyGyroJerkMag-mean()" -0.859899942335165
"LAYING" 19 "tBodyGyroJerkMag-mean()" -0.598923600520567
"SITTING" 19 "tBodyGyroJerkMag-mean()" -0.988983329615385
"WALKING_UPSTAIRS" 20 "tBodyGyroJerkMag-mean()" -0.684048497355932
"LAYING" 21 "tBodyGyroJerkMag-mean()" -0.807817403137255
"LAYING" 22 "tBodyGyroJerkMag-mean()" -0.794681311214953
"LAYING" 23 "tBodyGyroJerkMag-mean()" -0.623412641977151
"WALKING_UPSTAIRS" 24 "tBodyGyroJerkMag-mean()" -0.791646550787402
"LAYING" 25 "tBodyGyroJerkMag-mean()" -0.849630706259169
"LAYING" 26 "tBodyGyroJerkMag-mean()" -0.87854780875
"WALKING" 26 "tBodyGyroJerkMag-mean()" -0.747518718416667
"WALKING" 27 "tBodyGyroJerkMag-mean()" -0.823067662473404
"WALKING" 28 "tBodyGyroJerkMag-mean()" -0.78929494326178
"WALKING" 29 "tBodyGyroJerkMag-mean()" -0.802293906366279
"WALKING" 30 "tBodyGyroJerkMag-mean()" -0.786994812473684
"WALKING_DOWNSTAIRS" 30 "tBodyGyroJerkMag-mean()" -0.643512653333333
"STANDING" 1 "fBodyAcc-mean()-X" -0.531895161258213
"WALKING_DOWNSTAIRS" 2 "fBodyAcc-mean()-X" -0.57377091142947
"STANDING" 3 "fBodyAcc-mean()-X" -0.625733289873607
"WALKING_DOWNSTAIRS" 4 "fBodyAcc-mean()-X" -0.628806379100946
"STANDING" 5 "fBodyAcc-mean()-X" -0.55123770513245
"STANDING" 6 "fBodyAcc-mean()-X" -0.506174926221538
"STANDING" 7 "fBodyAcc-mean()-X" -0.593011288564935
"STANDING" 8 "fBodyAcc-mean()-X" -0.581831414648399
"WALKING_DOWNSTAIRS" 9 "fBodyAcc-mean()-X" -0.579258404408681
"WALKING_DOWNSTAIRS" 10 "fBodyAcc-mean()-X" -0.532289464513605
"SITTING" 11 "fBodyAcc-mean()-X" -0.617290238473248
"STANDING" 11 "fBodyAcc-mean()-X" -0.970229035
"WALKING_DOWNSTAIRS" 12 "fBodyAcc-mean()-X" -0.663817303221287
"WALKING_UPSTAIRS" 12 "fBodyAcc-mean()-X" -0.433587900260169
"WALKING_UPSTAIRS" 13 "fBodyAcc-mean()-X" -0.638817912651682
"SITTING" 14 "fBodyAcc-mean()-X" -0.619513271851703
"SITTING" 15 "fBodyAcc-mean()-X" -0.583772317445122
"SITTING" 16 "fBodyAcc-mean()-X" -0.700885147341803
"SITTING" 17 "fBodyAcc-mean()-X" -0.651780423718288
"WALKING_UPSTAIRS" 18 "fBodyAcc-mean()-X" -0.714227764615385
"LAYING" 19 "fBodyAcc-mean()-X" -0.477185043103227
"SITTING" 19 "fBodyAcc-mean()-X" -0.984255713846154
"WALKING_UPSTAIRS" 20 "fBodyAcc-mean()-X" -0.612641113666949
"LAYING" 21 "fBodyAcc-mean()-X" -0.693486097144118
"LAYING" 22 "fBodyAcc-mean()-X" -0.594929652065732
"LAYING" 23 "fBodyAcc-mean()-X" -0.599080886430645
"WALKING_UPSTAIRS" 24 "fBodyAcc-mean()-X" -0.707613779580052
"LAYING" 25 "fBodyAcc-mean()-X" -0.748416509682152
"LAYING" 26 "fBodyAcc-mean()-X" -0.798084999106579
"WALKING" 26 "fBodyAcc-mean()-X" -0.55799366027375
"WALKING" 27 "fBodyAcc-mean()-X" -0.681454795855319
"WALKING" 28 "fBodyAcc-mean()-X" -0.654156519193717
"WALKING" 29 "fBodyAcc-mean()-X" -0.579901000186134
"WALKING" 30 "fBodyAcc-mean()-X" -0.638006842653684
"WALKING_DOWNSTAIRS" 30 "fBodyAcc-mean()-X" -0.337132596666667
"STANDING" 1 "fBodyAcc-mean()-Y" -0.406435448904438
"WALKING_DOWNSTAIRS" 2 "fBodyAcc-mean()-Y" -0.432566581302351
